Board_State,Win_Moves,Draw_Moves,Lose_Moves
X O  XOX ,4,,1 3 8
X O  XOOX,4,,1 3
X O  XO X,4,,1 3 7
X O  XO  ,4,,1 3 7 8
X O  XXOO,3,1 4,
X O  XXO ,,3,1 4 8
X O  X OX,4,,1 3 6
X O  X O ,3 4,6,1 8
X O  XX O,,3,1 4 7
X O  X XO,,3 4,1 6
X O  X  O,3,4 6 7,1
X O  X   ,,3 4,1 6 7 8
X OOO XX ,8,5,1
X OO OXX ,8,,1 4
X OO  XXO,,5,1 4
X OO  XX ,,8,1 4 5
X OOO X X,7,5,1
X OO OX X,4 7,,1
X OO  XOX,4,1 5,
X OO  X X,,,1 4 5 7
X OO  X  ,8,4 5 7,1
X O OOXX ,3 8,,1
X O O XXO,3,5,1
X O O XX ,,,1 3 5 8
X O OOX X,3 7,,1
X O O XOX,3,1,5
X O O X X,,,1 3 5 7
X O O X  ,3 7 8,1 5,
X O  OXX ,8,,1 3 4
X O  OXOX,1 3 4,,
X O  OX X,,,1 3 4 7
X O  OX  ,3 8,,1 4 7
X O   XOX,,,1 3 4 5
X O   XO ,3 4 8,1 5,
X O   XXO,5,3,1 4
X O   X O,3,5,1 4 7
X O   X  ,,,1 3 4 5 7 8
X OOO  XX,6,,1 5
X OO O XX,4 6,,1
X OO  OXX,4,,1 5
X OO   XX,,,1 4 5 6
X OO   X ,4 8,5 6,1
X O OO XX,6,,1 3
X O O  XX,6,,1 3 5
X O O  X ,6,,1 3 5 8
X O  OOXX,4,,1 3
X O  O XX,,,1 3 4 6
X O  O X ,8,,1 3 4 6
X O   OXX,4,,1 3 5
X O   OX ,4,,1 3 5 8
X O    XO,,5,1 3 4 6
X O    X ,,8,1 3 4 5 6
X OO    X,4 6 7,5,1
X O O   X,6,,1 3 5 7
X O  O  X,3 4 6 7,,1
X O   O X,4,,1 3 5 7
X O    OX,3 4 6,1,5
X O     X,,,1 3 4 5 6 7
X O      ,3 6 8,4 5 7,1
XX OOXOXO,2,,
XX OOXOX ,2,,8
XX OOXOOX,2,,
XX OOXO X,2,,7
XX OOXO  ,2,,7 8
XX OOXXOO,2,,
XX OOXXO ,,2,8
XX OOX OX,,2,6
XX OOX O ,2,6 8,
XX OOXX O,,2,7
XX OOX XO,,2,6
XX OOX  O,2,6 7,
XX OOX   ,,2,6 7 8
XX OO XOX,5,2,
XX OO XO ,2,5,8
XX OO XXO,5,2,
XX OO X O,2,5,7
XX OO X  ,5,2,7 8
XX OO OXX,2 5,,
XX OO OX ,2,,5 8
XX OO  XO,2,5,6
XX OO  X ,2 5,,6 8
XX OO O X,2,,5 7
XX OO  OX,2,5,6
XX OO   X,2 5,,6 7
XX OO    ,2,5,6 7 8
XX OXOO  ,2 7 8,,
XX OXOXOO,2,,
XX OXOXO ,,,2 8
XX OXO O ,2 6 8,,
XX OXOX O,2,,7
XX OXO  O,2 7,,6
XX OXO   ,,,2 6 7 8
XX O OXOX,4,,2
XX O OXO ,2 4,,8
XX O OXXO,2 4,,
XX O OX O,2,,4 7
XX O OX  ,2 4,,7 8
XX O OOXX,4,,2
XX O OOX ,2 4,,8
XX O O XO,2 4,,6
XX O O X ,4,,2 6 8
XX O OO X,2 4,,7
XX O O OX,2 4,,6
XX O O  X,4,,2 6 7
XX O O   ,2 4,,6 7 8
XX OXXOO ,8,,2
XX OX OO ,2 8,,5
XX OXXO O,7,,2
XX OX O O,2 7,,5
XX OX O  ,,,2 5 7 8
XX O XOOX,,,2 4
XX O XOO ,2 8,,4
XX O XOXO,,,2 4
XX O XO O,2 7,,4
XX O XO  ,,,2 4 7 8
XX O  OXO,2 4 5,,
XX O  OX ,,,2 4 5 8
XX O  OOX,2 4 5,,
XX O  O X,,,2 4 5 7
XX O  O  ,2 4 5 7 8,,
XX OXX OO,6,2,
XX OX XOO,,2,5
XX OX  OO,2,6,5
XX OX  O ,,,2 5 6 8
XX O XXOO,,2,4
XX O X OO,2,6,4
XX O X O ,,2,4 6 8
XX O  XOO,2,4 5,
XX O  XO ,,2,4 5 8
XX O   OX,,,2 4 5 6
XX O   O ,2 4 8,5 6,
XX OX   O,,,2 5 6 7
XX O X  O,,2,4 6 7
XX O  X O,,2,4 5 7
XX O   XO,,,2 4 5 6
XX O    O,2 4 7,5 6,
XX O     ,,,2 4 5 6 7 8
X XOOXOXO,1,,
X XOOXOX ,,,1 8
X XOOXO  ,1 7 8,,
X XOOXXOO,1,,
X XOOXXO ,1,,8
X XOOX O ,1 8,,6
X XOOXX O,,1,7
X XOOX XO,,1,6
X XOOX  O,1,6 7,
X XOOX   ,,,1 6 7 8
X XOO XOX,1 5,,
X XOO XO ,1,,5 8
X XOO XXO,5,1,
X XOO X O,1,5,7
X XOO X  ,1 5,,7 8
X XOO OXX,5,,1
X XOO OX ,1 5,,8
X XOO  XO,1,5,6
X XOO  X ,5,1,6 8
X XOO O X,1 5,,7
X XOO  OX,1 5,,6
X XOO   X,5,,1 6 7
X XOO    ,1 5,,6 7 8
X XOXOOXO,1,,
X XOXOOX ,,,1 8
X XOXOO  ,1 7 8,,
X XOXO O ,1 6 8,,
X XOXO XO,,,1 6
X XOXO  O,1 6 7,,
X XOXO   ,,,1 6 7 8
X XO OXOX,4,,1
X XO OXO ,1 4,,8
X XO OXXO,4,,1
X XO OX O,1 4,,7
X XO OX  ,4,,1 7 8
X XO OOXX,4,,1
X XO OOX ,1 4,,8
X XO O XO,1 4,,6
X XO O X ,4,,1 6 8
X XO OO X,1 4,,7
X XO O OX,1 4,,6
X XO O  X,4,,1 6 7
X XO O   ,1 4,,6 7 8
X XOXXOO ,8,,1
X XOX OO ,1 8,,5
X XOXXO O,7,1,
X XOX OXO,,1,5
X XOX O O,1,7,5
X XOX O  ,,,1 5 7 8
X XO XOO ,1 8,,4
X XO XOXO,,1,4
X XO XO O,1,7,4
X XO XO  ,,,1 4 7 8
X XO  OXO,1,4 5,
X XO  OX ,,,1 4 5 8
X XO  OOX,1 4 5,,
X XO  O X,,,1 4 5 7
X XO  O  ,1 4 5 7 8,,
X XOXX OO,6,,1
X XOX  OO,1 6,,5
X XOX  O ,,,1 5 6 8
X XO XXOO,,,1 4
X XO X OO,1 6,,4
X XO X O ,,,1 4 6 8
X XO  XOO,1 4 5,,
X XO  XO ,,,1 4 5 8
X XO   OX,,,1 4 5 6
X XO   O ,1 4 5 6 8,,
X XOX   O,,,1 5 6 7
X XO X  O,,1,4 6 7
X XO  X O,,,1 4 5 7
X XO   XO,,1,4 5 6
X XO    O,1 4 6,5 7,
X XO     ,,,1 4 5 6 7 8
X  OXOXO ,1 2 8,,
X  OXOXXO,2,,1
X  OXOX O,2,,1 7
X  OXOX  ,,,1 2 7 8
X  OXOOX ,1 2 8,,
X  OXO XO,1 2,,6
X  OXO X ,,,1 2 6 8
X  OXO   ,1 2 6 7 8,,
X  OXXOO ,8,,1 2
X  OXXOXO,,1,2
X  OXXO O,,7,1 2
X  OXXO  ,,8,1 2 7
X  OX OXO,1,2 5,
X  OX OX ,,,1 2 5 8
X  OX O  ,1 2 7 8,5,
X  OXXXOO,,2,1
X  OXX OO,,6,1 2
X  OXX O ,,8,1 2 6
X  OX XOO,2,1 5,
X  OX XO ,,,1 2 5 8
X  OX  O ,1 2 6 8,5,
X  OXX  O,,1 2 6 7,
X  OX X O,,2,1 5 7
X  OX  XO,,1,2 5 6
X  OX   O,1 2,5 6 7,
X  OX    ,,,1 2 5 6 7 8
X  OOXXOX,1,2,
X  OOXXO ,,1,2 8
X  OOXXXO,,1 2,
X  OOXX O,,1 2 7,
X  OOXX  ,,1 2 7 8,
X  OOXOXX,2,,1
X  OOXOX ,2,,1 8
X  OOX XO,,1 2 6,
X  OOX X ,,2 8,1 6
X  OOXO X,2,,1 7
X  OOX OX,2,1,6
X  OOX  X,,2,1 6 7
X  OOX   ,2,1 6 7 8,
X  O XOXO,1,2 4,
X  O XOX ,,,1 2 4 8
X  O XOOX,1 2 4,,
X  O XO X,,,1 2 4 7
X  O XO  ,1 2 7 8,4,
X  O XXOO,2,1 4,
X  O XXO ,,2 4,1 8
X  O X OX,,,1 2 4 6
X  O X O ,2 8,1 4 6,
X  O XX O,,1 2 4,7
X  O X XO,,1 2 4,6
X  O X  O,,1 2 4 6 7,
X  O X   ,,2 8,1 4 6 7
X  OO XXO,,5,1 2
X  OO XX ,5,8,1 2
X  OO XOX,,,1 2 5
X  OO X X,5 7,,1 2
X  OO X  ,,5,1 2 7 8
X  O OXXO,,,1 2 4
X  O OXX ,4 8,,1 2
X  O OXOX,4,,1 2
X  O OX X,4,,1 2 7
X  O OX  ,4,,1 2 7 8
X  O  XOX,4,,1 2 5
X  O  XO ,2 4,1 5,8
X  O  XXO,5,1 2 4,
X  O  X O,2,1 4 5,7
X  O  X  ,,4,1 2 5 7 8
X  OO OXX,,,1 2 5
X  OO  XX,5 6,,1 2
X  OO  X ,,5,1 2 6 8
X  O OOXX,4,,1 2
X  O O XX,4,,1 2 6
X  O O X ,4,,1 2 6 8
X  O  OXX,4,,1 2 5
X  O  OX ,1 2 4 5,,8
X  O   XO,1,2 4 5,6
X  O   X ,,4,1 2 5 6 8
X  OO   X,,5,1 2 6 7
X  O O  X,4,,1 2 6 7
X  O  O X,1 2 4 5,,7
X  O   OX,1 2 4 5,,6
X  O    X,,4,1 2 5 6 7
X  O     ,1 2 4,5 6 7 8,
XX XOOOXO,2,,
XX XOOOX ,2,,8
XX XOOOOX,2,,
XX XOOO X,2,,7
XX XOOO  ,2,,7 8
XX XOO OX,,,2 6
XX XOO O ,2 6 8,,
XX XOO XO,2,,6
XX XOO  O,2 6,,7
XX XOO   ,,,2 6 7 8
XX  OOXOX,3,,2
XX  OOXO ,2 3,,8
XX  OOXXO,2 3,,
XX  OOX O,2 3,,7
XX  OOX  ,3,,2 7 8
XX  OOOXX,2 3,,
XX  OOOX ,2,,3 8
XX  OO XO,2,,3 6
XX  OO X ,2 3,,6 8
XX  OOO X,2,,3 7
XX  OO OX,2 3,,6
XX  OO  X,2 3,,6 7
XX  OO   ,2 3,,6 7 8
XX XOXOO ,2 8,,
XX XO OOX,2,,5
XX XO OO ,2,,5 8
XX XOXO O,2 7,,
XX XO OXO,2,,5
XX XO O O,2,,5 7
XX XO O  ,2,,5 7 8
XX  OXOOX,2,,3
XX  OXOO ,2,,3 8
XX  OXOXO,2,,3
XX  OXO O,2,,3 7
XX  OXO  ,2,,3 7 8
XX  O OXO,2,,3 5
XX  O OX ,2,,3 5 8
XX  O OOX,2,,3 5
XX  O O X,2,,3 5 7
XX  O O  ,2,,3 5 7 8
XX XOX OO,6,,2
XX XO  OO,2 6,,5
XX XO  O ,,,2 5 6 8
XX  OXXOO,,,2 3
XX  OX OO,2 6,,3
XX  OX O ,,2,3 6 8
XX  O XOO,2 3 5,,
XX  O XO ,,,2 3 5 8
XX  O  OX,,2,3 5 6
XX  O  O ,2 3 6,5 8,
XX XO   O,,,2 5 6 7
XX  OX  O,,2,3 6 7
XX  O X O,,,2 3 5 7
XX  O  XO,2,,3 5 6
XX  O   O,2 3 6,5,7
XX  O    ,,2,3 5 6 7 8
X XXOOOXO,1,,
X XXOOOX ,,1,8
X XXOOOOX,1,,
X XXOOO X,,1,7
X XXOOO  ,1,7 8,
X XXOO OX,1,,6
X XXOO O ,1 6,,8
X XXOO XO,,,1 6
X XXOO  O,1 6 7,,
X XXOO   ,,,1 6 7 8
X X OOXOX,1 3,,
X X OOXO ,1 3,,8
X X OOXXO,3,,1
X X OOX O,1 3,,7
X X OOX  ,3,,1 7 8
X X OOOXX,3,1,
X X OOOX ,1,3,8
X X OO XO,1 3,,6
X X OO X ,3,1,6 8
X X OOO X,1,3,7
X X OO OX,1,,3 6
X X OO  X,1 3,,6 7
X X OO   ,1 3,,6 7 8
X XXOXOO ,1 8,,
X XXO OOX,1,,5
X XXO OO ,1,,5 8
X XXOXO O,7,1,
X XXO OXO,,1,5
X XXO O O,1,7,5
X XXO O  ,,1,5 7 8
X X OXOO ,1 8,,3
X X OXOXO,,1,3
X X OXO O,1,7,3
X X OXO  ,,,1 3 7 8
X X O OXO,1,3 5,
X X O OX ,,1,3 5 8
X X O OOX,1 5,,3
X X O O X,,,1 3 5 7
X X O O  ,1 5 8,3 7,
X XXOX OO,1 6,,
X XXO  OO,1 6,,5
X XXO  O ,1,,5 6 8
X X OXXOO,1,,3
X X OX OO,1,,3 6
X X OX O ,1,,3 6 8
X X O XOO,1 3,,5
X X O XO ,1,,3 5 8
X X O  OX,1,,3 5 6
X X O  O ,1,,3 5 6 8
X XXO   O,,,1 5 6 7
X X OX  O,,1,3 6 7
X X O X O,,,1 3 5 7
X X O  XO,,1,3 5 6
X X O   O,1 3 6,5 7,
X X O    ,,1,3 5 6 7 8
X  XOOOXX,2,1,
X  XOOOX ,,2,1 8
X  XOO XO,2 6,,1
X  XOO X ,,6,1 2 8
X  XOOO X,,2,1 7
X  XOO OX,1 6,,2
X  XOO  X,,6,1 2 7
X  XOO   ,1 2 6,7 8,
X  XOXOOX,1 2,,
X  XOXOO ,,,1 2 8
X  XOXOXO,2,1,
X  XOXO O,,,1 2 7
X  XOXO  ,1 2 7 8,,
X  XO OXO,,2,1 5
X  XO OX ,2,1 5 8,
X  XO OOX,,,1 2 5
X  XO O X,1 2 7,5,
X  XO O  ,,2,1 5 7 8
X  XOX OO,6,,1 2
X  XOX O ,1 6,,2 8
X  XO  OX,1 6,,2 5
X  XO  O ,1 6,,2 5 8
X  XOX  O,6,,1 2 7
X  XO  XO,,6,1 2 5
X  XO   O,1 2 6,7,5
X  XO    ,,6,1 2 5 7 8
X   OXOXO,,2,1 3
X   OXOX ,2,1 8,3
X   OXOOX,2,,1 3
X   OXO X,2,,1 3 7
X   OXO  ,2,,1 3 7 8
X   OXXOO,1 3,,2
X   OXXO ,1,3,2 8
X   OX OX,1 2,,3 6
X   OX O ,,1,2 3 6 8
X   OXX O,,3,1 2 7
X   OX XO,,1 2 3 6,
X   OX  O,,1 2 6 7,3
X   OX   ,,1 2 7 8,3 6
X   OOXXO,3,,1 2
X   OOXX ,3,,1 2 8
X   OOXOX,3,,1 2
X   OOX X,3,,1 2 7
X   OOX  ,3,,1 2 7 8
X   O XOX,1 3,,2 5
X   O XO ,1 3,,2 5 8
X   O XXO,,3,1 2 5
X   O X O,1 2 3,5 7,
X   O X  ,,3,1 2 5 7 8
X   OOOXX,,,1 2 3
X   OO XX,3 6,,1 2
X   OO X ,,3,1 2 6 8
X   O OXX,2 3 5,1,
X   O OX ,,2,1 3 5 8
X   O  XO,,2 3 5 6,1
X   O  X ,,3 5 6 8,1 2
X   OO  X,,3,1 2 6 7
X   O O X,2,,1 3 5 7
X   O  OX,,1,2 3 5 6
X   O   X,,1 3 5 7,2 6
X   O    ,,1 2 3 5 6 7 8,
XX XXOOO ,8,,2
XX X OOOX,,,2 4
XX X OOO ,2 8,,4
XX XXOO O,2 7,,
XX X OOXO,2,,4
XX X OO O,2,,4 7
XX X OO  ,2,,4 7 8
XX  XOOO ,2 8,,3
XX  XOO O,2 7,,3
XX  XOO  ,,,2 3 7 8
XX   OOXO,2 4,,3
XX   OOX ,,,2 3 4 8
XX   OOOX,2 3 4,,
XX   OO X,,,2 3 4 7
XX   OO  ,2 4 7 8,,3
XX XXO OO,2 6,,
XX X O OO,2 6,,4
XX X O O ,,,2 4 6 8
XX  XOXOO,2,,3
XX  XO OO,2,,3 6
XX  XO O ,,,2 3 6 8
XX   OXOO,2 3,,4
XX   OXO ,,,2 3 4 8
XX   O OX,,,2 3 4 6
XX   O O ,2 3 4 6 8,,
XX X O  O,2,,4 6 7
XX  XO  O,2,,3 6 7
XX   OX O,2,,3 4 7
XX   O XO,2,,3 4 6
XX   O  O,2,,3 4 6 7
XX   O   ,2,,3 4 6 7 8
X XXXOOO ,8,,1
X XX OOOX,,,1 4
X XX OOO ,1 8,,4
X XXXOO O,7,1,
X XX OOXO,,1,4
X XX OO O,1,7,4
X XX OO  ,,1,4 7 8
X X XOOO ,1 8,,3
X X XOOXO,,1,3
X X XOO O,1,7,3
X X XOO  ,,,1 3 7 8
X X  OOXO,1,3 4,
X X  OOX ,,1,3 4 8
X X  OOOX,1 3 4,,
X X  OO X,,,1 3 4 7
X X  OO  ,1 4 8,3 7,
X XXXO OO,6,,1
X XX O OO,1 6,,4
X XX O O ,,,1 4 6 8
X X XO OO,1 6,,3
X X XO O ,,,1 3 6 8
X X  OXOO,1 3 4,,
X X  OXO ,,,1 3 4 8
X X  O OX,,,1 3 4 6
X X  O O ,1 3 4 6 8,,
X XX O  O,,,1 4 6 7
X X XO  O,,,1 3 6 7
X X  OX O,,,1 3 4 7
X X  O XO,,,1 3 4 6
X X  O  O,1 3 4 6 7,,
X X  O   ,,,1 3 4 6 7 8
X  XXOOO ,8,,1 2
X  XXOOXO,2,1,
X  XXOO O,,,1 2 7
X  XXOO  ,8,,1 2 7
X  X OOXO,,2,1 4
X  X OOX ,2,1 4 8,
X  X OOOX,1 2 4,,
X  X OO X,,4,1 2 7
X  X OO  ,,2 8,1 4 7
X  XXO OO,6,,1 2
X  XXO O ,,,1 2 6 8
X  X O OX,,,1 2 4 6
X  X O O ,1 2 4 6 8,,
X  XXO  O,2 6,,1 7
X  X O XO,2,6,1 4
X  X O  O,2 6,,1 4 7
X  X O   ,,6,1 2 4 7 8
X   XOOXO,1,2,3
X   XOOX ,,,1 2 3 8
X   XOO  ,1 2 7 8,,3
X   XOXOO,2 3,,1
X   XOXO ,,,1 2 3 8
X   XO O ,1 2 3 6 8,,
X   XOX O,2,,1 3 7
X   XO XO,2,1,3 6
X   XO  O,2,,1 3 6 7
X   XO   ,,,1 2 3 6 7 8
X    OXOX,,,1 2 3 4
X    OXO ,1 2 3 4 8,,
X    OXXO,2 3,,1 4
X    OX O,2 3,,1 4 7
X    OX  ,,,1 2 3 4 7 8
X    OOXX,4,,1 2 3
X    OOX ,1 4,2,3 8
X    O XO,2,,1 3 4 6
X    O X ,,4,1 2 3 6 8
X    OO X,1 2 4,3,7
X    O OX,1 2 3 4 6,,
X    O  X,,4,1 2 3 6 7
X    O   ,2 4 6,3 7 8,1
XX X  OO ,2 8,,4 5
XX  X OO ,8,,2 3 5
XX   XOO ,2 8,,3 4
XX    OOX,,,2 3 4 5
XX    OO ,2 8,,3 4 5
XX X  O O,2 7,,4 5
XX  X O O,7,,2 3 5
XX   XO O,2 7,,3 4
XX    OXO,,,2 3 4 5
XX    O O,2 7,,3 4 5
XX    O  ,,,2 3 4 5 7 8
X XX  OO ,1 8,,4 5
X X X OO ,8,,1 3 5
X X  XOO ,8,,1 3 4
X X   OOX,,,1 3 4 5
X X   OO ,1 8,,3 4 5
X XX  O O,7,1,4 5
X X X O O,7,1,3 5
X X  XO O,7,1,3 4
X X   OXO,,1,3 4 5
X X   O O,1,7,3 4 5
X X   O  ,,,1 3 4 5 7 8
X  XX OO ,8,,1 2 5
X  X XOO ,4 8,,1 2
X  X  OOX,4,,1 2 5
X  X  OO ,,,1 2 4 5 8
X  XX O O,5 7,,1 2
X  X XO O,4 7,,1 2
X  X  OXO,2,1 4 5,
X  X  O O,,,1 2 4 5 7
X  X  O  ,7 8,4 5,1 2
X   XXOO ,8,,1 2 3
X   X OO ,8,,1 2 3 5
X   XXO O,7,3,1 2
X   X OXO,,1,2 3 5
X   X O O,,7,1 2 3 5
X   X O  ,,8,1 2 3 5 7
X    XOOX,,,1 2 3 4
X    XOO ,8,,1 2 3 4
X    XOXO,,1 4,2 3
X    XO O,,7,1 2 3 4
X    XO  ,,8,1 2 3 4 7
X     OXO,1,2 4 5,3
X     OX ,,1 4,2 3 5 8
X     OOX,1 2 4 5,,3
X     O X,,,1 2 3 4 5 7
X     O  ,1 2 8,4 5 7,3
XX X   OO,6,,2 4 5
XX  X  OO,2 6,,3 5
XX   X OO,6,2,3 4
XX    XOO,,,2 3 4 5
XX     OO,2 6,,3 4 5
XX     O ,,2,3 4 5 6 8
X XX   OO,6,,1 4 5
X X X  OO,6,,1 3 5
X X  X OO,1 6,,3 4
X X   XOO,,,1 3 4 5
X X    OO,1 6,,3 4 5
X X    O ,,,1 3 4 5 6 8
X  XX  OO,6,,1 2 5
X  X X OO,6,,1 2 4
X  X   OO,6,,1 2 4 5
X  X   O ,6,,1 2 4 5 8
X   XX OO,6,3,1 2
X   X XOO,,,1 2 3 5
X   X  OO,6,,1 2 3 5
X   X  O ,,,1 2 3 5 6 8
X    XXOO,,,1 2 3 4
X    X OO,6,,1 2 3 4
X    X O ,,4,1 2 3 6 8
X     XOO,1 2 3 4 5,,
X     XO ,,,1 2 3 4 5 8
X      OX,,4,1 2 3 5 6
X      O ,2 4 6,1 5 8,3
XX      O,2,,3 4 5 6 7
X X     O,,,1 3 4 5 6 7
X  X    O,6,,1 2 4 5 7
X   X   O,,2 6,1 3 5 7
X    X  O,,3 4 6,1 2 7
X     X O,,,1 2 3 4 5 7
X      XO,,1 2 4,3 5 6
X       O,2 6,4 5 7,1 3
X        ,,4,1 2 3 5 6 7 8
OXXOXO OX,6,,
OXXOXO  X,6,,7
OXXOXO   ,6 7,,8
OXXOXX OO,6,,
OXXOXX O ,6,,8
OXXOX  OX,6,,5
OXXOX  O ,6,,5 8
OXXOXX  O,6,,7
OXXOX   O,6 7,,5
OXXOX    ,6,,5 7 8
OXXOOXXO ,8,,
OXXOOXX  ,8,,7
OXXOOX X ,6 8,,
OXXOOX   ,8,,6 7
OXXO XXOO,4,,
OXXO XXO ,,,4 8
OXXO X O ,6 8,,4
OXXO XX O,4,,7
OXXO X XO,4 6,,
OXXO X  O,,,4 6 7
OXXO X   ,6 8,,4 7
OXXOO XX ,5 8,,
OXXOO XOX,5,,
OXXOO X X,5,,7
OXXOO X  ,,,5 7 8
OXXO OXXO,4,,
OXXO OXX ,4,,8
OXXO OXOX,4,,
OXXO OX X,4,,7
OXXO OX  ,4,,7 8
OXXO  XOX,,,4 5
OXXO  XO ,4 5 8,,
OXXO  XXO,4,,5
OXXO  X O,4,,5 7
OXXO  X  ,4,,5 7 8
OXXOO  XX,5 6,,
OXXOO  X ,,,5 6 8
OXXO O XX,4 6,,
OXXO O X ,4,,6 8
OXXO   XO,4,,5 6
OXXO   X ,4 6,,5 8
OXXOO   X,5,,6 7
OXXO O  X,,,4 6 7
OXXO   OX,5 6,,4
OXXO    X,5 6,,4 7
OXXO     ,,,4 5 6 7 8
OXXXOOXO ,,8,
OXXXOOX  ,8,7,
OXXXOOOX ,,8,
OXXXOO X ,8,6,
OXXXOOO X,,7,
OXXXOO OX,,6,
OXXXOO  X,,6 7,
OXXXOO   ,,8,6 7
OXXXOXOO ,8,,
OXXXOXO  ,8,,7
OXXXO OX ,8,5,
OXXXO OOX,5,,
OXXXO O X,,5,7
OXXXO O  ,,8,5 7
OXXXOX O ,8,,6
OXXXO XO ,8,5,
OXXXO  OX,,5,6
OXXXO  O ,,8,5 6
OXXXO    ,8,5 6 7,
OXX OXOX ,3 8,,
OXX OXO  ,8,,3 7
OXX OXXO ,8,,3
OXX OX O ,8,,3 6
OXX OX   ,8,,3 6 7
OXX OOXX ,3 8,,
OXX OOXOX,,3,
OXX OOX X,3,7,
OXX OOX  ,,,3 7 8
OXX O XOX,,5,3
OXX O XO ,,8,3 5
OXX O X  ,3 5 8,7,
OXX OOOXX,,3,
OXX OO XX,3,6,
OXX OO X ,,,3 6 8
OXX O OXX,3,5,
OXX O OX ,,,3 5 8
OXX O  X ,3 5 6 8,,
OXX OO  X,,3,6 7
OXX O O X,5,3,7
OXX O  OX,5,3 6,
OXX O   X,,5,3 6 7
OXX O    ,,8,3 5 6 7
OXXXXOOO ,,8,
OXXXXOO O,7,,
OXXXXOO  ,,7,8
OXXX OOXO,4,,
OXXX OOX ,,4,8
OXXX OOOX,,4,
OXXX OO X,,4 7,
OXXX OO  ,,4 7 8,
OXXXXO OO,6,,
OXXXXO O ,,6,8
OXXX OXOO,4,,
OXXX OXO ,,4,8
OXXX O OX,,4 6,
OXXX O O ,,4 6 8,
OXXXXO  O,,,6 7
OXXX OX O,4,,7
